"","id","neighbourhood_cleansed","latitude","longitude","room_type","accommodates","price","has_availability","number_of_reviews","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","instant_bookable"
"33",11877,"Venice",33.99573,-118.47216,"Entire home/apt",1,"$99.00",TRUE,46,4.82,4.8,4.64,4.82,4.87,4.91,4.78,FALSE
"34",51546,"Hollywood Hills",34.11874,-118.32113,"Entire home/apt",6,"$100.00",TRUE,188,4.92,4.92,4.87,4.98,4.99,4.96,4.89,FALSE
"35",13776,"Redondo Beach",33.83931,-118.38638,"Entire home/apt",4,"$185.00",TRUE,223,4.83,4.87,4.81,4.88,4.88,4.88,4.75,FALSE
"36",14098,"Hollywood Hills",34.11834,-118.31997,"Entire home/apt",2,"$369.00",TRUE,35,4.97,4.95,4.95,5,5,4.95,4.79,FALSE
"37",52871,"Beverly Hills",34.06118,-118.39804,"Entire home/apt",6,"$160.00",TRUE,126,4.92,4.93,4.88,4.97,4.97,4.98,4.9,FALSE
"38",14124,"Redondo Beach",33.83931,-118.38638,"Entire home/apt",4,"$185.00",TRUE,179,4.83,4.87,4.9,4.91,4.91,4.89,4.8,FALSE
"39",84694,"Hollywood Hills",34.12018,-118.32051,"Entire home/apt",2,"$224.00",TRUE,8,4.75,4.75,4.75,4.88,5,4.75,4.5,FALSE
"40",84789,"Woodland Hills",34.16708,-118.64441,"Entire home/apt",8,"$379.00",TRUE,131,4.39,4.53,4.14,4.79,4.74,4.71,4.44,TRUE
"41",52997,"Pasadena",34.15227,-118.10359,"Private room",2,"$85.00",TRUE,34,4.69,4.72,4.69,4.93,4.93,4.59,4.69,FALSE
"42",15089,"Mid-City",34.04244,-118.3522,"Entire home/apt",2,"$185.00",TRUE,78,4.8,4.68,4.7,4.82,4.9,4.86,4.71,FALSE
"43",85973,"Tujunga",34.25419,-118.28138,"Entire home/apt",2,"$90.00",TRUE,26,4.88,4.71,4.88,4.92,4.92,4.75,4.79,FALSE
"44",53945,"Carthay",34.06171,-118.37258,"Entire home/apt",2,"$135.00",TRUE,142,4.78,4.68,4.7,4.91,4.95,4.79,4.76,FALSE
"45",86674,"Silver Lake",34.08195,-118.2784,"Entire home/apt",1,"$143.00",TRUE,271,4.79,4.81,4.8,4.92,4.9,4.9,4.7,FALSE
"46",15333,"Valley Village",34.16497,-118.41157,"Private room",6,"$504.00",TRUE,7,5,5,5,5,5,5,5,FALSE
"47",61153,"Hollywood Hills West",34.10998,-118.38152,"Private room",2,"$65.00",TRUE,9,4,4.5,4.38,4.75,4.5,4.75,4.25,FALSE
"48",18041,"Venice",33.99179,-118.45056,"Entire home/apt",8,"$400.00",TRUE,4,5,5,4.75,5,5,5,5,FALSE
"49",61578,"Venice",33.99122,-118.46898,"Entire home/apt",6,"$417.00",TRUE,25,4.92,4.89,4.94,4.89,4.94,5,4.78,FALSE
"50",61582,"Glassell Park",34.11082,-118.23036,"Entire home/apt",2,"$78.00",TRUE,12,4.92,4.92,4.83,5,4.92,4.92,4.92,FALSE
"51",18067,"Venice",33.99117,-118.45159,"Entire home/apt",5,"$257.00",TRUE,61,4.42,4.3,4.03,4.75,4.67,4.63,4.22,FALSE
"52",19887,"Silver Lake",34.08363,-118.2843,"Private room",2,"$75.00",TRUE,253,4.84,4.85,4.89,4.92,4.89,4.84,4.75,FALSE
"53",86945,"Beverly Grove",34.08483,-118.36664,"Private room",1,"$93.00",TRUE,51,4.92,4.75,4.76,5,5,4.94,4.88,FALSE
"54",63416,"Hollywood Hills",34.11344,-118.32399,"Private room",2,"$195.00",TRUE,128,4.99,4.92,4.91,4.96,4.96,4.98,4.87,FALSE
"55",87595,"Westchester",33.96731,-118.41919,"Entire home/apt",2,"$120.00",TRUE,464,4.84,4.82,4.85,4.94,4.97,4.89,4.81,FALSE
"56",20585,"Venice",33.98047,-118.46514,"Entire home/apt",2,"$129.00",TRUE,532,4.92,4.95,4.92,4.96,4.97,4.88,4.84,FALSE
"57",20786,"Hollywood Hills",34.11187,-118.32479,"Entire home/apt",2,"$286.00",TRUE,51,4.92,4.93,4.93,5,5,4.93,4.89,FALSE
"58",22355,"Hollywood Hills",34.11374,-118.32503,"Entire home/apt",2,"$270.00",TRUE,60,4.91,4.82,4.84,5,4.95,4.97,4.63,FALSE
"59",67089,"Culver City",34.00985,-118.40798,"Entire home/apt",3,"$138.00",TRUE,668,4.92,4.95,4.91,4.94,4.94,4.91,4.87,FALSE
"60",67792,"West Hollywood",34.08187,-118.38965,"Entire home/apt",6,"$650.00",TRUE,18,4.94,5,4.88,5,5,5,4.76,FALSE
"61",23363,"Silver Lake",34.10104,-118.25659,"Entire home/apt",2,"$190.00",TRUE,196,4.65,4.76,4.89,4.78,4.81,4.83,4.66,FALSE
"62",23710,"Highland Park",34.12057,-118.18934,"Entire home/apt",2,"$205.00",TRUE,318,4.92,4.94,4.93,4.99,4.99,4.85,4.9,TRUE
"63",23925,"Venice",34.0025,-118.4657,"Entire home/apt",2,"$297.00",TRUE,167,4.89,4.96,4.97,4.99,4.94,4.81,4.81,FALSE
"64",90986,"Mid-City",34.03948,-118.34081,"Entire home/apt",2,"$105.00",TRUE,1,4,5,3,5,5,3,4,FALSE
"65",96334,"Woodland Hills",34.15504,-118.6031,"Private room",1,"$59.00",TRUE,26,4.67,4.54,4.36,4.92,4.96,4.8,4.76,FALSE
"66",97000,"Lynwood",33.91942,-118.20913,"Private room",4,"$95.00",TRUE,96,4.2,4.52,4.17,4.6,4.43,3.74,4.37,FALSE
"67",97354,"Santa Monica",34.03735,-118.49205,"Entire home/apt",6,"$550.00",TRUE,18,4.89,4.94,4.75,5,5,5,4.81,FALSE
"68",23979,"Hollywood Hills",34.11957,-118.32013,"Entire home/apt",2,"$263.00",TRUE,46,4.95,4.9,4.95,5,5,4.9,4.85,FALSE
"69",69838,"Mid-City",34.03833,-118.33662,"Private room",4,"$115.00",TRUE,646,4.78,4.8,4.66,4.93,4.89,4.76,4.79,FALSE
"70",24030,"Venice",33.98798,-118.47245,"Entire home/apt",2,"$130.00",TRUE,271,4.8,4.8,4.43,4.8,4.87,4.82,4.66,FALSE
"71",24041,"Redondo Beach",33.83889,-118.38537,"Entire home/apt",2,"$170.00",TRUE,358,4.69,4.78,4.61,4.86,4.88,4.89,4.71,FALSE
"72",24349,"Mount Washington",34.10942,-118.22003,"Entire home/apt",5,"$375.00",TRUE,150,4.97,4.93,4.92,4.98,5,4.98,4.91,FALSE
"73",25670,"West Los Angeles",34.04579,-118.44166,"Entire home/apt",1,"$94.00",TRUE,19,4.37,4.42,4.47,4.89,4.95,4.84,4.37,FALSE
"74",26082,"Woodland Hills",34.1674,-118.64293,"Private room",2,"$89.00",TRUE,30,4.71,4.84,4.6,4.88,4.68,4.84,4.88,FALSE
"75",28529,"Hollywood Hills",34.11212,-118.32526,"Entire home/apt",2,"$393.00",TRUE,39,4.87,4.73,4.89,4.97,4.86,4.84,4.73,FALSE
"76",30470,"Culver City",34.02496,-118.38513,"Private room",1,"$170.00",TRUE,5,4.8,5,5,5,5,5,5,FALSE
"77",99962,"Hollywood Hills",34.10798,-118.3323,"Private room",2,"$75.00",TRUE,16,4.69,4.69,4.94,4.94,4.88,4.69,4.81,FALSE
"78",100074,"Santa Monica",34.01204,-118.49715,"Hotel room",4,"$135.00",TRUE,532,4.22,4.2,4.23,4.45,4.17,4.87,4.31,TRUE
"79",74770,"Encino",34.18177,-118.52621,"Entire home/apt",2,"$114.00",TRUE,161,4.9,4.94,4.98,4.94,4.96,4.85,4.87,FALSE
"80",101702,"Echo Park",34.07332,-118.26331,"Entire home/apt",2,"$150.00",TRUE,222,4.83,4.88,4.94,4.97,4.98,4.71,4.76,TRUE
"81",31237,"Los Feliz",34.10291,-118.28698,"Private room",3,"$90.00",TRUE,185,4.88,4.93,4.92,4.92,4.95,4.87,4.92,FALSE
"82",75212,"Lakewood",33.8465,-118.08244,"Private room",2,"$57.00",TRUE,58,4.81,4.91,4.88,4.93,4.96,4.88,4.79,FALSE
"83",32850,"Tarzana",34.17309,-118.53169,"Entire home/apt",3,"$59.00",TRUE,11,4.5,4.63,4.25,5,4.88,4.5,4.75,FALSE
"84",106052,"Carson",33.8271,-118.27944,"Entire home/apt",2,"$74.00",TRUE,433,4.94,4.94,4.82,4.99,4.96,4.74,4.93,TRUE
"85",106061,"Silver Lake",34.08587,-118.2648,"Entire home/apt",4,"$84.00",TRUE,196,4.7,4.75,4.66,4.89,4.81,4.87,4.74,FALSE
"86",212140,"Silver Lake",34.09395,-118.27673,"Entire home/apt",6,"$180.00",TRUE,92,4.9,4.94,4.91,4.98,4.94,4.95,4.82,FALSE
"87",111646,"North Hollywood",34.17324,-118.38833,"Entire home/apt",4,"$85.00",TRUE,17,4.88,4.82,4.76,4.82,4.94,4.94,4.71,FALSE
"88",212142,"Silver Lake",34.09419,-118.27871,"Entire home/apt",4,"$150.00",TRUE,68,4.91,4.91,4.85,4.94,4.91,4.88,4.68,FALSE
"89",32963,"Culver City",33.99327,-118.44407,"Entire home/apt",3,"$199.00",TRUE,162,4.93,4.97,4.95,4.98,4.98,4.91,4.82,FALSE
"90",214533,"Hollywood",34.09624,-118.34656,"Entire home/apt",2,"$150.00",TRUE,3,5,5,4.67,5,5,5,4.67,FALSE
"91",33447,"Malibu",34.01451,-118.8064,"Entire home/apt",2,"$188.00",TRUE,332,4.95,4.92,4.93,4.98,4.97,4.96,4.93,FALSE
"92",37298,"Hollywood Hills",34.11319,-118.32303,"Entire home/apt",2,"$386.00",TRUE,5,5,4.6,5,5,5,5,4.8,FALSE
"93",113253,"Mid-City",34.04884,-118.37155,"Private room",2,"$80.00",TRUE,12,4.58,4.67,4.5,4.67,4.67,4.92,4.58,FALSE
"94",215161,"Venice",33.97713,-118.46279,"Entire home/apt",2,"$196.00",TRUE,231,4.91,4.95,4.9,4.92,4.93,4.92,4.81,FALSE
"95",114203,"West Hollywood",34.09513,-118.36875,"Entire home/apt",2,"$175.00",TRUE,31,4.97,5,4.8,5,5,5,4.85,FALSE
"96",38365,"Hollywood Hills West",34.10788,-118.37879,"Private room",2,"$65.00",TRUE,9,5,5,5,5,5,5,5,FALSE
"97",40667,"Mid-City",34.03926,-118.38017,"Private room",2,"$59.00",TRUE,12,4.3,3.82,3.73,4.82,4.64,4.36,4.45,FALSE
"98",217666,"Fairfax",34.0768,-118.35301,"Entire home/apt",2,"$68.00",TRUE,80,4.83,4.81,4.73,4.85,4.81,4.95,4.85,FALSE
"99",43318,"Downtown",34.04828,-118.23605,"Private room",1,"$59.00",TRUE,93,4.35,4.49,4.22,4.7,4.76,4.69,4.53,FALSE
"100",120005,"Lynwood",33.91942,-118.20913,"Private room",2,"$75.00",TRUE,75,4.38,4.54,4.42,4.54,4.4,4.01,4.41,FALSE
"101",217971,"Pacific Palisades",34.02886,-118.51392,"Entire home/apt",5,"$218.00",TRUE,80,4.93,4.95,4.9,5,4.98,4.99,4.84,TRUE
"102",124199,"Beverly Hills",34.06547,-118.40422,"Entire home/apt",2,"$149.00",TRUE,87,4.76,4.75,4.67,4.84,4.85,4.81,4.75,FALSE
"103",44511,"Lynwood",33.91942,-118.20913,"Private room",2,"$75.00",TRUE,249,4.4,4.6,4.36,4.71,4.64,3.78,4.49,FALSE
"104",221502,"Koreatown",34.06581,-118.29441,"Private room",3,"$62.00",TRUE,30,4.88,4.9,4.55,4.93,4.69,4.62,4.79,FALSE
"105",311176,"Leimert Park",34.00882,-118.33335,"Entire home/apt",4,"$150.00",TRUE,22,4.55,4.82,4.64,5,4.82,4.77,4.77,FALSE
"106",130915,"Calabasas",34.13097,-118.70429,"Private room",4,"$85.00",TRUE,340,4.84,4.69,4.73,4.94,4.94,4.93,4.88,FALSE
"107",226517,"San Pedro",33.74232,-118.30168,"Private room",4,"$30.00",TRUE,119,4.84,4.88,4.89,4.93,4.95,4.77,4.77,TRUE
"108",131174,"Pacific Palisades",34.02732,-118.51856,"Private room",3,"$125.00",TRUE,258,4.66,4.7,4.61,4.76,4.82,4.75,4.66,FALSE
"109",131557,"Echo Park",34.08023,-118.25646,"Entire home/apt",3,"$120.00",TRUE,80,4.7,4.74,4.74,4.79,4.83,4.66,4.58,FALSE
"110",312387,"Broadway-Manchester",33.92483,-118.27031,"Entire home/apt",4,"$188.00",TRUE,162,4.84,4.91,4.89,4.93,4.92,4.51,4.86,FALSE
"111",226609,"Altadena",34.19226,-118.13738,"Entire home/apt",2,"$99.00",TRUE,215,4.84,4.86,4.76,4.94,4.96,4.9,4.87,FALSE
"112",320747,"Hermosa Beach",33.87213,-118.39654,"Entire home/apt",6,"$279.00",TRUE,9,4.78,4.89,4.56,5,4.89,4.89,5,FALSE
"113",321051,"View Park-Windsor Hills",33.99125,-118.3474,"Entire home/apt",5,"$121.00",TRUE,151,4.15,4.13,3.94,4.6,4.72,3.88,4.12,FALSE
"114",131635,"Valley Glen",34.1831,-118.39929,"Private room",2,"$55.00",TRUE,77,4.97,4.84,4.95,5,4.99,4.75,4.96,TRUE
"115",229799,"West Los Angeles",34.04682,-118.43568,"Entire home/apt",4,"$125.00",TRUE,35,4.49,4.62,4.44,4.91,4.85,4.85,4.44,FALSE
"116",132908,"Hollywood Hills West",34.10236,-118.37752,"Entire home/apt",10,"$700.00",TRUE,249,4.81,4.88,4.85,4.84,4.87,4.74,4.68,FALSE
"117",321179,"Silver Lake",34.08828,-118.2842,"Entire home/apt",4,"$175.00",TRUE,13,4.67,4.42,4.67,4.83,4.58,4.58,4.67,FALSE
"118",321599,"Venice",33.977921,-118.463158,"Entire home/apt",2,"$192.00",TRUE,175,4.92,4.94,4.87,4.94,4.94,4.96,4.86,FALSE
"119",236832,"Van Nuys",34.19644,-118.45882,"Private room",2,"$50.00",TRUE,19,4,4.11,3.11,4.5,4.67,4.44,4.11,FALSE
"120",323093,"Unincorporated Santa Monica Mountains",34.08267,-118.64594,"Entire home/apt",3,"$360.00",TRUE,7,5,5,5,5,5,5,5,FALSE
"121",134553,"Topanga",34.09729,-118.61616,"Entire home/apt",2,"$97.00",TRUE,419,4.5,4.57,4.38,4.84,4.74,4.69,4.5,TRUE
"122",326787,"Hollywood",34.10039,-118.35362,"Private room",2,"$110.00",TRUE,184,4.86,4.87,4.81,4.89,4.89,4.93,4.86,FALSE
"123",135608,"Downtown",34.04827,-118.23603,"Private room",1,"$65.00",TRUE,112,4.44,4.62,4.35,4.64,4.69,4.56,4.47,FALSE
"124",237985,"Venice",33.99492,-118.45825,"Entire home/apt",2,"$699.00",TRUE,168,4.9,4.92,4.87,4.93,4.9,4.92,4.75,FALSE
"125",138211,"Sawtelle",34.03493,-118.4629,"Entire home/apt",2,"$150.00",TRUE,518,4.76,4.86,4.72,4.9,4.86,4.79,4.69,FALSE
"126",237988,"Venice",33.9943,-118.45642,"Entire home/apt",5,"$1,499.00",TRUE,102,4.94,4.88,4.92,4.96,4.89,4.83,4.73,FALSE
"127",328989,"Carthay",34.06303,-118.36374,"Entire home/apt",6,"$308.00",TRUE,5,4.33,3.75,4,5,5,5,4.5,FALSE
"128",138244,"Atwater Village",34.1217,-118.26329,"Entire home/apt",2,"$145.00",TRUE,98,4.79,4.84,4.79,4.86,4.83,4.92,4.86,FALSE
"129",239032,"Topanga",34.09928,-118.59125,"Entire home/apt",5,"$168.00",TRUE,237,4.8,4.89,4.67,4.94,4.96,4.9,4.81,FALSE
"130",150097,"Valley Glen",34.18163,-118.39925,"Private room",3,"$75.00",TRUE,216,4.96,4.95,4.96,4.99,4.99,4.9,4.95,FALSE
"131",153412,"Venice",33.98335,-118.46769,"Entire home/apt",4,"$205.00",TRUE,61,4.72,4.77,4.11,4.86,4.91,4.91,4.68,FALSE
"132",329059,"Culver City",34.03053,-118.37477,"Private room",4,"$150.00",TRUE,33,4.94,5,4.94,5,4.94,4.91,4.91,FALSE
"133",331450,"Santa Monica",34.03676,-118.49616,"Entire home/apt",6,"$1,100.00",TRUE,1,5,5,5,5,5,5,5,FALSE
"134",332241,"Eagle Rock",34.12812,-118.19416,"Entire home/apt",2,"$89.00",TRUE,12,4.89,4.75,4.75,4.92,4.92,4.5,4.75,FALSE
"135",336043,"Atwater Village",34.12163,-118.26297,"Entire home/apt",3,"$191.00",TRUE,7,4.57,4.57,4.71,5,5,4.86,4.71,FALSE
"136",160288,"Topanga",34.09793,-118.61621,"Entire home/apt",4,"$123.00",TRUE,529,4.69,4.73,4.47,4.88,4.83,4.83,4.56,TRUE
"137",242108,"Long Beach",33.84705,-118.19424,"Entire home/apt",6,"$355.00",TRUE,12,4.75,4.92,5,4.75,4.75,4.25,4.58,TRUE
"138",337928,"Fairfax",34.08708,-118.35434,"Entire home/apt",2,"$114.00",TRUE,41,4.89,4.87,4.65,4.97,4.97,4.95,4.86,FALSE
"139",245682,"Unincorporated Santa Monica Mountains",34.11742,-118.78489,"Private room",2,"$66.00",TRUE,81,4.92,4.78,4.93,4.99,4.96,4.88,4.87,FALSE
"140",344646,"Pacific Palisades",34.02846,-118.51825,"Entire home/apt",2,"$80.00",TRUE,102,4.33,4.36,4.1,4.58,4.69,4.3,4.22,TRUE
"141",162047,"Rancho Palos Verdes",33.77191,-118.39385,"Private room",2,"$78.00",TRUE,129,4.74,4.76,4.75,4.84,4.85,4.83,4.71,FALSE
"142",164889,"Topanga",34.09813,-118.61599,"Entire home/apt",4,"$123.00",TRUE,332,4.73,4.78,4.58,4.91,4.85,4.91,4.64,TRUE
"143",164946,"Downtown",34.04827,-118.23603,"Private room",1,"$59.00",TRUE,61,4.28,4.33,4.17,4.52,4.43,4.5,4.4,FALSE
"144",249907,"Westlake",34.06246,-118.27871,"Entire home/apt",4,"$245.00",TRUE,70,4.79,4.92,4.72,4.91,4.92,4.48,4.83,FALSE
"145",165978,"Fairfax",34.06923,-118.34549,"Entire home/apt",4,"$195.00",TRUE,21,4.62,4.71,4.33,4.86,4.76,4.86,4.43,FALSE
"146",180174,"Beverly Grove",34.08601,-118.3678,"Private room",1,"$86.00",TRUE,56,4.91,4.8,4.57,4.98,4.98,4.96,4.8,FALSE
"147",347925,"Silver Lake",34.09241,-118.28065,"Entire home/apt",4,"$240.00",TRUE,44,4.93,4.9,5,4.95,5,4.93,4.85,FALSE
"148",253683,"Long Beach",33.84731,-118.19586,"Entire home/apt",6,"$326.00",TRUE,24,4.83,4.75,4.92,4.88,4.88,4.33,4.79,FALSE
"149",180926,"Unincorporated Santa Monica Mountains",34.07054,-118.89799,"Entire home/apt",6,"$270.00",TRUE,98,4.91,4.91,4.85,4.97,4.98,4.93,4.74,FALSE
"150",254259,"Venice",34.00438,-118.45598,"Entire home/apt",2,"$175.00",TRUE,510,4.93,4.92,4.9,4.97,4.96,4.84,4.87,FALSE
"151",181430,"Santa Monica",34.03441,-118.47219,"Entire home/apt",2,"$129.00",TRUE,24,4.72,4.7,4.13,4.83,4.83,4.61,4.61,FALSE
"152",350634,"El Segundo",33.91961,-118.42146,"Entire home/apt",2,"$131.00",TRUE,423,4.85,4.85,4.9,4.95,4.94,4.85,4.82,TRUE
"153",181511,"Elysian Valley",34.10053,-118.24925,"Entire home/apt",5,"$140.00",TRUE,39,4.95,4.97,5,4.97,5,4.68,4.82,FALSE
"154",254320,"Studio City",34.1414,-118.40714,"Entire home/apt",3,"$225.00",TRUE,142,4.91,4.92,4.81,4.99,4.96,4.99,4.86,FALSE
"155",183319,"Venice",33.99211,-118.476,"Entire home/apt",2,"$152.00",TRUE,3,5,4.67,4.67,5,5,5,5,FALSE
"156",184314,"Venice",33.97487,-118.46312,"Entire home/apt",1,"$125.00",TRUE,30,4.88,4.93,4.63,4.78,4.93,4.89,4.85,TRUE
"157",350756,"Hancock Park",34.06418,-118.33978,"Private room",2,"$67.00",TRUE,7,4.17,4.17,3.67,4.17,4.5,4.83,4.17,TRUE
"158",254844,"Beverly Crest",34.08851,-118.42911,"Entire home/apt",4,"$957.00",TRUE,189,4.57,4.72,4.57,4.59,4.52,4.77,4.51,FALSE
"159",354281,"Long Beach",33.76371,-118.12497,"Private room",2,"$133.00",TRUE,122,4.91,4.94,4.96,4.98,4.97,4.97,4.9,FALSE
"160",255656,"Hollywood",34.10336,-118.32366,"Entire home/apt",4,"$132.00",TRUE,22,4.52,4.7,4.85,5,5,4.9,4.6,TRUE
"161",185536,"Westchester",33.96154,-118.42373,"Private room",1,"$75.00",TRUE,13,4.42,4.38,3.77,4.77,4.85,4.77,4.38,FALSE
"162",185557,"Westchester",33.962,-118.42204,"Private room",1,"$75.00",TRUE,12,4.92,5,4.75,5,5,5,4.92,FALSE
"163",255701,"Hollywood",34.10336,-118.32366,"Entire home/apt",6,"$169.00",TRUE,26,4.08,4.22,4.52,4.74,4.78,4.65,4.26,TRUE
"164",187526,"Malibu",34.03073,-118.75513,"Private room",3,"$350.00",TRUE,187,4.83,4.71,4.89,4.94,4.9,4.89,4.7,FALSE
"165",356290,"Santa Monica",34.00351,-118.478,"Entire home/apt",2,"$190.00",TRUE,56,4.94,4.87,4.82,4.95,4.95,4.96,4.67,FALSE
"166",357323,"Echo Park",34.08115,-118.25549,"Entire home/apt",3,"$140.00",TRUE,87,4.85,4.88,4.83,4.85,4.81,4.84,4.68,TRUE
"167",357488,"West Hollywood",34.09123,-118.37953,"Entire home/apt",1,"$182.00",TRUE,24,4.6,4.57,4.52,4.65,4.83,4.83,4.48,FALSE
"168",256622,"West Hollywood",34.0927,-118.36314,"Entire home/apt",2,"$193.00",TRUE,37,4.97,4.91,4.91,4.91,4.94,5,4.97,FALSE
"169",191733,"Atwater Village",34.11365,-118.25162,"Entire home/apt",4,"$120.00",TRUE,84,4.89,4.89,4.91,4.95,4.99,4.82,4.86,FALSE
"170",357690,"Pasadena",34.16108,-118.10577,"Private room",2,"$103.00",TRUE,59,4.96,4.81,4.78,4.91,4.95,4.98,4.89,FALSE
"171",258803,"Beverly Grove",34.07103,-118.37869,"Entire home/apt",5,"$265.00",TRUE,55,4.45,4.64,4.61,4.7,4.75,4.75,4.47,TRUE
"172",358575,"Echo Park",34.08898,-118.25007,"Entire home/apt",4,"$181.00",TRUE,58,4.93,4.84,4.91,4.98,4.93,4.86,4.74,FALSE
"173",194809,"Palms",34.0238,-118.40512,"Entire home/apt",2,"$59.00",TRUE,23,4.4,4.43,4.24,4.57,4.81,4.67,4.52,TRUE
"174",196410,"Echo Park",34.08187,-118.25663,"Entire home/apt",2,"$140.00",TRUE,59,4.78,4.8,4.55,4.77,4.88,4.71,4.46,FALSE
